Date,Hop Number,IP Address,AS Number,Latency 1,Latency 2,Latency 3,URL
11-22-23,5,162.151.152.210,7922,23.186,23.172,23.104,github.com
11-22-23,6,96.110.120.93,7922,23.203,20.085,20.058,github.com
11-22-23,7,162.151.65.5,7922,20.038,20.360,16.033,github.com
11-22-23,8,96.110.42.165,7922,23.296,23.270,23.254,github.com
11-22-23,9,96.110.38.138,7922,23.247,23.232,,github.com
11-22-23,10,96.110.39.149,7922,27.173,27.207,27.145,github.com
11-22-23,11,68.86.84.157,7922,26.033,30.421,30.407,github.com
11-22-23,12,96.110.32.134,7922,30.383,30.379,29.038,github.com
11-22-23,13,50.248.119.26,7922,28.989,36.901,36.882,github.com
11-22-23,14,98.124.190.162,3257,34.033,34.024,34.015,github.com
11-22-23,1,172.25.192.1,NA,2.262,2.182,2.135,github.com
11-22-23,2,10.0.0.1,NA,8.466,8.352,8.292,github.com
11-22-23,3,96.120.62.169,7922,24.861,24.808,24.749,github.com
11-22-23,4,96.110.215.137,7922,21.023,20.961,17.153,github.com
11-22-23,5,96.110.120.93,7922,20.844,20.790,20.191,github.com
11-22-23,6,162.151.65.5,7922,24.222,31.387,31.316,github.com
11-22-23,7,96.110.42.173,7922,31.272,18.799,25.789,github.com
11-22-23,8,96.110.38.134,7922,25.749,20.893,,github.com
11-22-23,9,96.110.39.149,7922,27.023,27.009,26.982,github.com
11-22-23,10,68.86.84.149,7922,32.379,32.365,32.350,github.com
11-22-23,11,96.110.32.126,7922,30.591,30.577,30.562,github.com
11-22-23,12,50.248.119.26,7922,32.294,32.280,27.897,github.com
11-22-23,13,98.124.190.162,3257,27.865,27.851,46.319,github.com
11-22-23,1,172.25.192.1,NA,1.086,1.054,1.039,github.com
11-22-23,2,10.0.0.1,NA,11.187,11.171,11.156,github.com
11-22-23,3,96.120.62.169,7922,20.825,26.114,26.099,github.com
11-22-23,4,96.110.215.137,7922,25.872,25.858,25.844,github.com
11-22-23,5,96.110.120.93,7922,25.831,25.816,25.745,github.com
11-22-23,6,162.151.65.5,7922,25.729,22.709,22.531,github.com
11-22-23,7,96.110.42.169,7922,22.665,24.520,16.363,github.com
11-22-23,8,96.110.38.138,7922,25.642,47.753,,github.com
11-22-23,9,96.110.39.145,7922,60.551,60.537,60.556,github.com
11-22-23,10,68.86.84.145,7922,62.274,55.974,62.245,github.com
11-22-23,11,96.110.32.134,7922,62.221,62.217,62.204,github.com
11-22-23,12,50.248.119.26,7922,62.187,62.173,30.721,github.com
11-22-23,13,98.124.190.162,3257,23.660,30.595,29.196,github.com
11-22-23,1,172.25.192.1,NA,1.121,1.069,1.052,github.com
11-22-23,2,10.0.0.1,NA,9.606,9.591,10.257,github.com
11-22-23,3,96.120.62.169,7922,22.356,22.342,15.641,github.com
11-22-23,4,96.110.215.137,7922,26.415,26.401,26.388,github.com
11-22-23,5,96.110.120.93,7922,26.284,26.271,26.257,github.com
11-22-23,6,162.151.65.5,7922,26.332,23.023,22.995,github.com
11-22-23,7,96.110.42.169,7922,22.981,16.881,22.303,github.com
11-22-23,8,96.110.38.134,7922,20.090,26.092,,github.com
11-22-23,9,96.110.39.165,7922,30.614,30.497,30.473,github.com
11-22-23,10,68.86.84.157,7922,37.006,36.984,36.966,github.com
11-22-23,11,96.110.32.126,7922,33.750,33.591,33.429,github.com
11-22-23,12,50.248.119.26,7922,33.287,33.235,30.482,github.com
11-22-23,13,98.124.190.162,3257,33.597,31.001,25.172,github.com
11-22-23,1,172.25.192.1,NA,0.299,0.888,0.873,google.com
11-22-23,2,10.0.0.1,NA,8.422,8.391,8.340,google.com
11-22-23,3,96.120.62.169,7922,15.306,20.161,20.149,google.com
11-22-23,4,96.110.215.137,7922,15.180,20.218,20.206,google.com
11-22-23,5,96.110.120.93,7922,19.785,19.769,19.758,google.com
11-22-23,6,162.151.65.5,7922,24.029,17.590,17.513,google.com
11-22-23,7,96.110.42.169,7922,17.501,18.162,18.030,google.com
11-22-23,8,96.110.38.142,7922,23.133,22.214,,google.com
11-22-23,9,96.110.39.165,7922,28.287,27.580,27.554,google.com
11-22-23,10,68.86.84.145,7922,28.871,28.852,28.838,google.com
11-22-23,11,96.110.34.114,7922,28.758,28.550,28.635,google.com
11-22-23,12,50.248.119.106,7922,28.519,28.530,28.629,google.com
11-22-23,13,108.170.246.34,15169,28.602,28.431,,google.com
11-22-23,14,216.239.49.197,15169,25.877,25.697,25.848,google.com
11-22-23,15,108.170.246.67,15169,25.668,25.589,25.737,google.com
11-22-23,16,142.251.49.77,15169,33.190,32.608,,google.com
11-22-23,17,142.250.235.87,15169,32.472,25.355,,google.com
11-22-23,18,142.251.244.136,15169,37.351,37.324,37.266,google.com
11-22-23,19,142.250.235.93,15169,37.281,37.156,,google.com
11-22-23,27,142.251.167.147,15169,33.987,,,google.com
11-22-23,1,172.25.192.1,NA,0.739,0.706,0.691,google.com
11-22-23,2,10.0.0.1,NA,11.080,11.064,11.050,google.com
11-22-23,3,96.120.62.169,7922,24.108,24.093,19.282,google.com
11-22-23,4,96.110.215.137,7922,28.955,28.925,28.905,google.com
11-22-23,5,96.110.120.93,7922,28.890,28.877,28.862,google.com
11-22-23,6,162.151.65.5,7922,25.484,21.989,21.962,google.com
11-22-23,7,96.110.42.161,7922,25.310,25.483,21.344,google.com
11-22-23,8,96.110.38.130,7922,25.434,21.848,21.822,google.com
11-22-23,9,96.110.39.145,7922,27.781,21.794,27.695,google.com
11-22-23,10,68.86.84.157,7922,33.955,33.932,33.910,google.com
11-22-23,11,96.110.32.134,7922,29.925,29.908,29.888,google.com
11-22-23,12,66.208.216.230,7922,33.685,33.612,31.890,google.com
11-22-23,13,108.170.246.67,15169,34.017,,,google.com
11-22-23,14,142.251.67.234,15169,33.992,35.704,36.077,google.com
11-22-23,15,142.251.226.101,15169,32.840,24.748,,google.com
11-22-23,16,142.250.210.246,15169,30.631,30.617,30.603,google.com
11-22-23,17,142.250.238.5,15169,30.575,30.562,,google.com
11-22-23,18,216.239.57.97,15169,28.026,35.147,,google.com
11-22-23,27,142.251.167.147,15169,32.689,,,google.com
11-22-23,1,172.25.192.1,NA,0.822,0.787,0.769,google.com
11-22-23,2,10.0.0.1,NA,7.061,7.626,8.479,google.com
11-22-23,3,96.120.62.169,7922,19.532,19.517,19.504,google.com
11-22-23,4,96.110.215.137,7922,19.337,19.322,14.613,google.com
11-22-23,5,96.110.120.93,7922,19.446,19.432,19.417,google.com
11-22-23,6,162.151.65.5,7922,20.955,17.513,17.482,google.com
11-22-23,7,96.110.42.161,7922,17.469,15.109,23.019,google.com
11-22-23,8,96.110.38.138,7922,17.183,22.910,22.889,google.com
11-22-23,9,96.110.39.145,7922,27.216,27.218,27.171,google.com
11-22-23,10,68.86.84.145,7922,37.047,37.028,37.009,google.com
11-22-23,11,96.110.32.198,7922,33.656,30.715,36.919,google.com
11-22-23,12,66.208.216.230,7922,36.899,30.658,28.957,google.com
11-22-23,13,108.170.246.67,15169,31.887,,,google.com
11-22-23,14,108.170.240.97,15169,36.181,30.638,30.653,google.com
11-22-23,15,108.170.246.2,15169,30.597,30.624,,google.com
11-22-23,16,74.125.37.158,15169,30.594,32.094,32.081,google.com
11-22-23,17,142.251.245.83,15169,32.066,,,google.com
11-22-23,18,142.251.244.158,15169,61.377,27.350,,google.com
11-22-23,19,142.250.238.7,15169,34.291,34.260,28.719,google.com
11-22-23,24,142.251.167.147,15169,31.209,,,google.com
11-22-23,1,172.25.192.1,NA,0.808,0.782,0.772,google.com
11-22-23,2,10.0.0.1,NA,18.566,18.555,18.544,google.com
11-22-23,3,96.120.62.169,7922,19.708,19.698,19.688,google.com
11-22-23,4,96.110.215.125,7922,19.679,25.608,19.659,google.com
11-22-23,5,162.151.152.210,7922,19.648,18.465,31.158,google.com
11-22-23,6,96.110.120.93,7922,19.544,16.661,16.637,google.com
11-22-23,7,162.151.65.5,7922,19.021,23.236,23.212,google.com
11-22-23,8,96.110.42.161,7922,23.150,23.136,21.860,google.com
11-22-23,9,96.110.38.130,7922,21.786,21.771,21.756,google.com
11-22-23,10,96.110.39.149,7922,24.780,24.766,24.752,google.com
11-22-23,11,68.86.84.145,7922,28.896,28.882,28.867,google.com
11-22-23,12,96.110.34.114,7922,24.776,28.796,30.180,google.com
11-22-23,13,50.208.232.70,7922,30.117,30.102,32.307,google.com
11-22-23,14,108.170.240.112,15169,24.067,24.040,,google.com
11-22-23,15,108.170.246.33,15169,39.502,,,google.com
11-22-23,16,108.170.246.67,15169,42.319,39.608,,google.com
11-22-23,17,142.251.49.77,15169,39.443,39.550,,google.com
11-22-23,18,209.85.249.39,15169,31.861,42.205,,google.com
11-22-23,19,142.251.244.136,15169,44.047,25.902,34.060,google.com
11-22-23,20,209.85.249.39,15169,34.044,31.894,,google.com
11-22-23,28,172.253.62.104,15169,34.296,34.281,40.161,google.com
11-22-23,1,172.25.192.1,NA,1.131,1.098,1.081,google.com
11-22-23,2,10.0.0.1,NA,6.401,7.479,7.464,google.com
11-22-23,3,96.120.62.169,7922,15.944,19.796,19.781,google.com
11-22-23,4,96.110.215.125,7922,21.427,21.412,21.398,google.com
11-22-23,5,162.151.152.210,7922,19.725,19.711,19.696,google.com
11-22-23,6,96.110.120.93,7922,21.390,21.427,21.400,google.com
11-22-23,7,162.151.65.5,7922,23.252,16.994,21.936,google.com
11-22-23,8,96.110.42.169,7922,21.906,21.891,21.876,google.com
11-22-23,9,96.110.38.142,7922,21.884,24.599,,google.com
11-22-23,10,96.110.39.149,7922,21.855,26.009,25.989,google.com
11-22-23,11,68.86.84.157,7922,31.987,31.973,31.961,google.com
11-22-23,12,96.110.37.142,7922,29.743,29.606,31.120,google.com
11-22-23,13,66.208.216.230,7922,29.298,22.697,29.260,google.com
11-22-23,15,142.251.64.102,15169,22.723,28.839,26.495,google.com
11-22-23,16,108.170.246.67,15169,25.021,26.479,,google.com
11-22-23,17,142.251.244.158,15169,26.453,26.438,29.064,google.com
11-22-23,18,142.251.245.109,15169,29.735,,,google.com
11-22-23,19,172.253.67.4,15169,29.431,,,google.com
11-22-23,20,209.85.247.109,15169,29.422,31.652,,google.com
11-22-23,28,172.253.62.104,15169,40.778,,,google.com
11-22-23,1,172.25.192.1,NA,1.449,1.374,1.336,google.com
11-22-23,2,10.0.0.1,NA,7.745,8.650,7.667,google.com
11-22-23,3,96.120.62.169,7922,21.124,21.606,21.569,google.com
11-22-23,4,96.110.215.125,7922,25.599,25.561,25.677,google.com
11-22-23,5,162.151.152.210,7922,21.421,21.384,20.412,google.com
11-22-23,6,96.110.120.93,7922,24.503,19.335,19.305,google.com
11-22-23,7,162.151.65.5,7922,23.753,14.688,18.755,google.com
11-22-23,8,96.110.42.173,7922,35.608,35.583,35.567,google.com
11-22-23,9,96.110.38.134,7922,17.481,35.498,35.485,google.com
11-22-23,10,96.110.39.145,7922,35.472,35.497,35.482,google.com
11-22-23,11,68.86.84.145,7922,36.200,36.186,36.172,google.com
11-22-23,12,96.110.32.122,7922,35.589,35.935,34.428,google.com
11-22-23,13,96.87.10.106,7922,34.849,24.670,30.295,google.com
11-22-23,14,108.170.246.49,15169,26.062,30.133,,google.com
11-22-23,15,108.170.232.199,15169,30.120,30.175,29.467,google.com
11-22-23,16,108.170.240.112,15169,29.445,29.327,,google.com
11-22-23,17,142.251.244.134,15169,54.518,54.503,,google.com
11-22-23,18,142.251.237.185,15169,54.487,54.475,,google.com
11-22-23,19,142.250.209.38,15169,26.049,32.864,,google.com
11-22-23,20,142.251.245.109,15169,32.889,,,google.com
11-22-23,28,172.253.62.104,15169,23.837,30.289,,google.com
11-22-23,1,172.25.192.1,NA,0.612,0.579,0.795,google.com
11-22-23,2,10.0.0.1,NA,13.023,13.007,12.992,google.com
11-22-23,3,96.120.62.169,7922,23.237,23.218,23.195,google.com
11-22-23,4,96.110.215.125,7922,23.178,19.703,23.149,google.com
11-22-23,5,162.151.152.210,7922,28.399,23.120,28.370,google.com
11-22-23,6,96.110.120.93,7922,23.089,25.307,25.271,google.com
11-22-23,7,162.151.65.5,7922,26.979,21.337,15.616,google.com
11-22-23,8,96.110.42.165,7922,20.019,24.257,16.656,google.com
11-22-23,9,96.110.38.130,7922,24.184,24.167,24.152,google.com
11-22-23,10,96.110.39.145,7922,46.165,46.012,45.999,google.com
11-22-23,11,68.86.84.153,7922,46.157,46.250,46.389,google.com
11-22-23,12,96.110.37.134,7922,46.081,45.927,43.203,google.com
11-22-23,13,173.167.57.162,7922,43.036,43.287,34.683,google.com
11-22-23,14,108.170.246.49,15169,33.936,,,google.com
